month,group,fields,median_ndvi
2022-10,A units,200,0.14575119130974545
2022-10,B/C fields,200,0.6788781360721966
2022-11,A units,200,0.14569830282944785
2022-11,B/C fields,200,0.4606462404193805
2022-12,A units,200,0.15164719045993644
2022-12,B/C fields,200,0.2043662367295334
2023-01,A units,200,0.19945801547382871
2023-01,B/C fields,200,0.24107487574926664
2023-02,A units,200,0.221857784313438
2023-02,B/C fields,200,0.26752252223328693
2023-03,A units,200,0.26722496979368604
2023-03,B/C fields,200,0.3102851759345491
2023-04,A units,200,0.323612643077283
2023-04,B/C fields,200,0.30651908978546727
2023-05,A units,200,0.4433400205879289
2023-05,B/C fields,200,0.21352851196427414
2023-06,A units,200,0.5716394465931738
2023-06,B/C fields,200,0.19875040328689436
2023-07,A units,200,0.6495772398459994
2023-07,B/C fields,200,0.19699982244679448
2023-08,A units,200,0.6888698520316245
2023-08,B/C fields,200,0.16847900016637435
2023-09,A units,200,0.6650551624060161
2023-09,B/C fields,200,0.18978061719847494
